Solving for objective max_perf with perfLB=10.0 Gflop/s, areaUB=1000.0 mm2, powerUB=10000000000.0 W

######################################################
List of objective values:
1. ['Intel Core i9-13900K', 'DDR4-3200', '1x L3s', '0.25 App. AI, 100.0 MB Workset']: 7.6593e+09
221. ['Intel Core i9-13900K', 'DDR4-3200', '11x L3s', '0.25 App. AI, 25.0 MB Workset']: 8.9987e+10
222. ['Intel Core i9-13900K', 'HBM2', '11x L3s', '0.25 App. AI, 25.0 MB Workset']: 8.9987e+10
223. ['Intel Core i9-13900K', 'DDR4-3200', '12x L3s', '0.25 App. AI, 25.0 MB Workset']: 9.8168e+10
224. ['Intel Core i9-13900K', 'HBM2', '12x L3s', '0.25 App. AI, 25.0 MB Workset']: 9.8168e+10
225. ['Intel Core i9-13900K', 'DDR4-3200', '13x L3s', '0.25 App. AI, 25.0 MB Workset']: 1.0635e+11
226. ['Intel Core i9-13900K', 'HBM2', '13x L3s', '0.25 App. AI, 25.0 MB Workset']: 1.0635e+11
227. ['Intel Core i9-13900K', 'DDR4-3200', '14x L3s', '0.25 App. AI, 25.0 MB Workset']: 1.1453e+11
228. ['Intel Core i9-13900K', 'HBM2', '14x L3s', '0.25 App. AI, 25.0 MB Workset']: 1.1453e+11
229. ['Intel Core i9-13900K', 'DDR4-3200', '15x L3s', '0.25 App. AI, 25.0 MB Workset']: 1.2271e+11
230. ['Intel Core i9-13900K', 'HBM2', '15x L3s', '0.25 App. AI, 25.0 MB Workset']: 1.2271e+11
231. ['Intel Core i9-13900K', 'DDR4-3200', '16x L3s', '0.25 App. AI, 25.0 MB Workset']: 1.3089e+11
232. ['Intel Core i9-13900K', 'HBM2', '16x L3s', '0.25 App. AI, 25.0 MB Workset']: 1.3089e+11
233. ['Intel Core i9-13900K', 'DDR4-3200', '17x L3s', '0.25 App. AI, 25.0 MB Workset']: 1.3907e+11
234. ['Intel Core i9-13900K', 'HBM2', '17x L3s', '0.25 App. AI, 25.0 MB Workset']: 1.3907e+11
235. ['Intel Core i9-13900K', 'DDR4-3200', '18x L3s', '0.25 App. AI, 25.0 MB Workset']: 1.4725e+11
236. ['Intel Core i9-13900K', 'HBM2', '18x L3s', '0.25 App. AI, 25.0 MB Workset']: 1.4725e+11
237. ['Intel Core i9-13900K', 'DDR4-3200', '19x L3s', '0.25 App. AI, 25.0 MB Workset']: 1.5543e+11
238. ['Intel Core i9-13900K', 'HBM2', '19x L3s', '0.25 App. AI, 25.0 MB Workset']: 1.5543e+11
239. ['Intel Core i9-13900K', 'DDR4-3200', '20x L3s', '0.25 App. AI, 25.0 MB Workset']: 1.6361e+11
240. ['Intel Core i9-13900K', 'HBM2', '20x L3s', '0.25 App. AI, 25.0 MB Workset']: 1.6361e+11
241. ['Intel Core i9-13900K', 'DDR4-3200', '21x L3s', '0.25 App. AI, 25.0 MB Workset']: 1.7179e+11
242. ['Intel Core i9-13900K', 'HBM2', '21x L3s', '0.25 App. AI, 25.0 MB Workset']: 1.7179e+11
243. ['Intel Core i9-13900K', 'DDR4-3200', '22x L3s', '0.25 App. AI, 25.0 MB Workset']: 1.7997e+11
244. ['Intel Core i9-13900K', 'HBM2', '22x L3s', '0.25 App. AI, 25.0 MB Workset']: 1.7997e+11
245. ['Intel Core i9-13900K', 'DDR4-3200', '23x L3s', '0.25 App. AI, 25.0 MB Workset']: 1.8815e+11
246. ['Intel Core i9-13900K', 'HBM2', '23x L3s', '0.25 App. AI, 25.0 MB Workset']: 1.8815e+11
247. ['Intel Core i9-13900K', 'DDR4-3200', '24x L3s', '0.25 App. AI, 25.0 MB Workset']: 1.9634e+11
248. ['Intel Core i9-13900K', 'HBM2', '24x L3s', '0.25 App. AI, 25.0 MB Workset']: 1.9634e+11
249. ['Intel Core i9-13900K', 'DDR4-3200', '25x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.0452e+11
250. ['Intel Core i9-13900K', 'HBM2', '25x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.0452e+11
251. ['Intel Core i9-13900K', 'DDR4-3200', '26x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.1270e+11
252. ['Intel Core i9-13900K', 'HBM2', '26x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.1270e+11
253. ['Intel Core i9-13900K', 'DDR4-3200', '27x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2088e+11
254. ['Intel Core i9-13900K', 'HBM2', '27x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2088e+11
255. ['Intel Core i9-13900K', 'DDR4-3200', '28x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
256. ['Intel Core i9-13900K', 'HBM2', '28x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
257. ['Intel Core i9-13900K', 'DDR4-3200', '29x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
258. ['Intel Core i9-13900K', 'HBM2', '29x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
259. ['Intel Core i9-13900K', 'DDR4-3200', '30x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
260. ['Intel Core i9-13900K', 'HBM2', '30x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
261. ['Intel Core i9-13900K', 'DDR4-3200', '31x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
262. ['Intel Core i9-13900K', 'HBM2', '31x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
263. ['Intel Core i9-13900K', 'DDR4-3200', '32x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
264. ['Intel Core i9-13900K', 'HBM2', '32x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
265. ['Intel Core i9-13900K', 'DDR4-3200', '33x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
266. ['Intel Core i9-13900K', 'HBM2', '33x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
267. ['Intel Core i9-13900K', 'DDR4-3200', '34x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
268. ['Intel Core i9-13900K', 'HBM2', '34x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
269. ['Intel Core i9-13900K', 'DDR4-3200', '35x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
270. ['Intel Core i9-13900K', 'HBM2', '35x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
271. ['Intel Core i9-13900K', 'DDR4-3200', '36x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
272. ['Intel Core i9-13900K', 'HBM2', '36x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
273. ['Intel Core i9-13900K', 'DDR4-3200', '37x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
274. ['Intel Core i9-13900K', 'HBM2', '37x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
275. ['Intel Core i9-13900K', 'DDR4-3200', '38x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
276. ['Intel Core i9-13900K', 'HBM2', '38x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
277. ['Intel Core i9-13900K', 'DDR4-3200', '39x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
278. ['Intel Core i9-13900K', 'HBM2', '39x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
279. ['Intel Core i9-13900K', 'DDR4-3200', '40x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
280. ['Intel Core i9-13900K', 'HBM2', '40x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
281. ['Intel Core i9-13900K', 'DDR4-3200', '41x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
282. ['Intel Core i9-13900K', 'HBM2', '41x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
283. ['Intel Core i9-13900K', 'DDR4-3200', '42x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
284. ['Intel Core i9-13900K', 'HBM2', '42x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
285. ['Intel Core i9-13900K', 'DDR4-3200', '43x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
286. ['Intel Core i9-13900K', 'HBM2', '43x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
287. ['Intel Core i9-13900K', 'DDR4-3200', '44x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
288. ['Intel Core i9-13900K', 'HBM2', '44x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
289. ['Intel Core i9-13900K', 'DDR4-3200', '45x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
290. ['Intel Core i9-13900K', 'HBM2', '45x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
291. ['Intel Core i9-13900K', 'DDR4-3200', '46x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
292. ['Intel Core i9-13900K', 'HBM2', '46x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
293. ['Intel Core i9-13900K', 'DDR4-3200', '47x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
294. ['Intel Core i9-13900K', 'HBM2', '47x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
295. ['Intel Core i9-13900K', 'DDR4-3200', '48x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
296. ['Intel Core i9-13900K', 'HBM2', '48x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
297. ['Intel Core i9-13900K', 'DDR4-3200', '49x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
298. ['Intel Core i9-13900K', 'HBM2', '49x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
299. ['Intel Core i9-13900K', 'DDR4-3200', '50x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
300. ['Intel Core i9-13900K', 'HBM2', '50x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.2860e+11
301. ['Intel Core i9-13900K', 'DDR4-3200', '1x L3s', '0.5 App. AI, 100.0 MB Workset']: 1.5319e+10
302. ['Intel Core i9-13900K', 'HBM2', '1x L3s', '0.5 App. AI, 100.0 MB Workset']: 1.5319e+10
303. ['Intel Core i9-13900K', 'DDR4-3200', '2x L3s', '0.5 App. AI, 100.0 MB Workset']: 3.0637e+10
304. ['Intel Core i9-13900K', 'HBM2', '2x L3s', '0.5 App. AI, 100.0 MB Workset']: 3.0637e+10
305. ['Intel Core i9-13900K', 'DDR4-3200', '3x L3s', '0.5 App. AI, 100.0 MB Workset']: 4.5956e+10
306. ['Intel Core i9-13900K', 'HBM2', '3x L3s', '0.5 App. AI, 100.0 MB Workset']: 4.5956e+10
307. ['Intel Core i9-13900K', 'DDR4-3200', '4x L3s', '0.5 App. AI, 100.0 MB Workset']: 5.6344e+10
308. ['Intel Core i9-13900K', 'HBM2', '4x L3s', '0.5 App. AI, 100.0 MB Workset']: 6.1275e+10
309. ['Intel Core i9-13900K', 'DDR4-3200', '5x L3s', '0.5 App. AI, 100.0 MB Workset']: 5.7459e+10
310. ['Intel Core i9-13900K', 'HBM2', '5x L3s', '0.5 App. AI, 100.0 MB Workset']: 7.6593e+10
311. ['Intel Core i9-13900K', 'DDR4-3200', '6x L3s', '0.5 App. AI, 100.0 MB Workset']: 5.8618e+10
312. ['Intel Core i9-13900K', 'HBM2', '6x L3s', '0.5 App. AI, 100.0 MB Workset']: 9.1912e+10
313. ['Intel Core i9-13900K', 'DDR4-3200', '7x L3s', '0.5 App. AI, 100.0 MB Workset']: 5.9826e+10
314. ['Intel Core i9-13900K', 'HBM2', '7x L3s', '0.5 App. AI, 100.0 MB Workset']: 1.0723e+11
315. ['Intel Core i9-13900K', 'DDR4-3200', '8x L3s', '0.5 App. AI, 100.0 MB Workset']: 6.1084e+10
316. ['Intel Core i9-13900K', 'HBM2', '8x L3s', '0.5 App. AI, 100.0 MB Workset']: 1.2255e+11
317. ['Intel Core i9-13900K', 'DDR4-3200', '9x L3s', '0.5 App. AI, 100.0 MB Workset']: 6.2396e+10
318. ['Intel Core i9-13900K', 'HBM2', '9x L3s', '0.5 App. AI, 100.0 MB Workset']: 1.3787e+11
319. ['Intel Core i9-13900K', 'DDR4-3200', '10x L3s', '0.5 App. AI, 100.0 MB Workset']: 6.3765e+10
320. ['Intel Core i9-13900K', 'HBM2', '10x L3s', '0.5 App. AI, 100.0 MB Workset']: 1.5319e+11
321. ['Intel Core i9-13900K', 'DDR4-3200', '11x L3s', '0.5 App. AI, 100.0 MB Workset']: 6.5196e+10
322. ['Intel Core i9-13900K', 'HBM2', '11x L3s', '0.5 App. AI, 100.0 MB Workset']: 1.6850e+11
323. ['Intel Core i9-13900K', 'DDR4-3200', '12x L3s', '0.5 App. AI, 100.0 MB Workset']: 6.6693e+10
324. ['Intel Core i9-13900K', 'HBM2', '12x L3s', '0.5 App. AI, 100.0 MB Workset']: 1.8382e+11
325. ['Intel Core i9-13900K', 'DDR4-3200', '13x L3s', '0.5 App. AI, 100.0 MB Workset']: 6.8261e+10
326. ['Intel Core i9-13900K', 'HBM2', '13x L3s', '0.5 App. AI, 100.0 MB Workset']: 1.9914e+11
327. ['Intel Core i9-13900K', 'DDR4-3200', '14x L3s', '0.5 App. AI, 100.0 MB Workset']: 6.9903e+10
328. ['Intel Core i9-13900K', 'HBM2', '14x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.1446e+11
329. ['Intel Core i9-13900K', 'DDR4-3200', '15x L3s', '0.5 App. AI, 100.0 MB Workset']: 7.1627e+10
330. ['Intel Core i9-13900K', 'HBM2', '15x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
331. ['Intel Core i9-13900K', 'DDR4-3200', '16x L3s', '0.5 App. AI, 100.0 MB Workset']: 7.3438e+10
332. ['Intel Core i9-13900K', 'HBM2', '16x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
333. ['Intel Core i9-13900K', 'DDR4-3200', '17x L3s', '0.5 App. AI, 100.0 MB Workset']: 7.5342e+10
334. ['Intel Core i9-13900K', 'HBM2', '17x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
335. ['Intel Core i9-13900K', 'DDR4-3200', '18x L3s', '0.5 App. AI, 100.0 MB Workset']: 7.7348e+10
336. ['Intel Core i9-13900K', 'HBM2', '18x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
337. ['Intel Core i9-13900K', 'DDR4-3200', '19x L3s', '0.5 App. AI, 100.0 MB Workset']: 7.9464e+10
338. ['Intel Core i9-13900K', 'HBM2', '19x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
339. ['Intel Core i9-13900K', 'DDR4-3200', '20x L3s', '0.5 App. AI, 100.0 MB Workset']: 8.1699e+10
340. ['Intel Core i9-13900K', 'HBM2', '20x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
341. ['Intel Core i9-13900K', 'DDR4-3200', '21x L3s', '0.5 App. AI, 100.0 MB Workset']: 8.4064e+10
342. ['Intel Core i9-13900K', 'HBM2', '21x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
343. ['Intel Core i9-13900K', 'DDR4-3200', '22x L3s', '0.5 App. AI, 100.0 MB Workset']: 8.6569e+10
344. ['Intel Core i9-13900K', 'HBM2', '22x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
345. ['Intel Core i9-13900K', 'DDR4-3200', '23x L3s', '0.5 App. AI, 100.0 MB Workset']: 8.9228e+10
346. ['Intel Core i9-13900K', 'HBM2', '23x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
347. ['Intel Core i9-13900K', 'DDR4-3200', '24x L3s', '0.5 App. AI, 100.0 MB Workset']: 9.2056e+10
348. ['Intel Core i9-13900K', 'HBM2', '24x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
349. ['Intel Core i9-13900K', 'DDR4-3200', '25x L3s', '0.5 App. AI, 100.0 MB Workset']: 9.5068e+10
350. ['Intel Core i9-13900K', 'HBM2', '25x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
351. ['Intel Core i9-13900K', 'DDR4-3200', '26x L3s', '0.5 App. AI, 100.0 MB Workset']: 9.8285e+10
352. ['Intel Core i9-13900K', 'HBM2', '26x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
353. ['Intel Core i9-13900K', 'DDR4-3200', '27x L3s', '0.5 App. AI, 100.0 MB Workset']: 1.0173e+11
354. ['Intel Core i9-13900K', 'HBM2', '27x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
355. ['Intel Core i9-13900K', 'DDR4-3200', '28x L3s', '0.5 App. AI, 100.0 MB Workset']: 1.0542e+11
356. ['Intel Core i9-13900K', 'HBM2', '28x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
357. ['Intel Core i9-13900K', 'DDR4-3200', '29x L3s', '0.5 App. AI, 100.0 MB Workset']: 1.0939e+11
358. ['Intel Core i9-13900K', 'HBM2', '29x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
359. ['Intel Core i9-13900K', 'DDR4-3200', '30x L3s', '0.5 App. AI, 100.0 MB Workset']: 1.1367e+11
360. ['Intel Core i9-13900K', 'HBM2', '30x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
361. ['Intel Core i9-13900K', 'DDR4-3200', '31x L3s', '0.5 App. AI, 100.0 MB Workset']: 1.1830e+11
362. ['Intel Core i9-13900K', 'HBM2', '31x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
363. ['Intel Core i9-13900K', 'DDR4-3200', '32x L3s', '0.5 App. AI, 100.0 MB Workset']: 1.2332e+11
364. ['Intel Core i9-13900K', 'HBM2', '32x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
365. ['Intel Core i9-13900K', 'DDR4-3200', '33x L3s', '0.5 App. AI, 100.0 MB Workset']: 1.2879e+11
366. ['Intel Core i9-13900K', 'HBM2', '33x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
367. ['Intel Core i9-13900K', 'DDR4-3200', '34x L3s', '0.5 App. AI, 100.0 MB Workset']: 1.3476e+11
368. ['Intel Core i9-13900K', 'HBM2', '34x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
369. ['Intel Core i9-13900K', 'DDR4-3200', '35x L3s', '0.5 App. AI, 100.0 MB Workset']: 1.4132e+11
370. ['Intel Core i9-13900K', 'HBM2', '35x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
371. ['Intel Core i9-13900K', 'DDR4-3200', '36x L3s', '0.5 App. AI, 100.0 MB Workset']: 1.4854e+11
372. ['Intel Core i9-13900K', 'HBM2', '36x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
373. ['Intel Core i9-13900K', 'DDR4-3200', '37x L3s', '0.5 App. AI, 100.0 MB Workset']: 1.5655e+11
374. ['Intel Core i9-13900K', 'HBM2', '37x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
375. ['Intel Core i9-13900K', 'DDR4-3200', '38x L3s', '0.5 App. AI, 100.0 MB Workset']: 1.6547e+11
376. ['Intel Core i9-13900K', 'HBM2', '38x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
377. ['Intel Core i9-13900K', 'DDR4-3200', '39x L3s', '0.5 App. AI, 100.0 MB Workset']: 1.7546e+11
378. ['Intel Core i9-13900K', 'HBM2', '39x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
379. ['Intel Core i9-13900K', 'DDR4-3200', '40x L3s', '0.5 App. AI, 100.0 MB Workset']: 1.8674e+11
380. ['Intel Core i9-13900K', 'HBM2', '40x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
381. ['Intel Core i9-13900K', 'DDR4-3200', '41x L3s', '0.5 App. AI, 100.0 MB Workset']: 1.9957e+11
382. ['Intel Core i9-13900K', 'HBM2', '41x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
383. ['Intel Core i9-13900K', 'DDR4-3200', '42x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.1429e+11
384. ['Intel Core i9-13900K', 'HBM2', '42x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
385. ['Intel Core i9-13900K', 'DDR4-3200', '43x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
386. ['Intel Core i9-13900K', 'HBM2', '43x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
387. ['Intel Core i9-13900K', 'DDR4-3200', '44x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
388. ['Intel Core i9-13900K', 'HBM2', '44x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
389. ['Intel Core i9-13900K', 'DDR4-3200', '45x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
390. ['Intel Core i9-13900K', 'HBM2', '45x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
391. ['Intel Core i9-13900K', 'DDR4-3200', '46x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
392. ['Intel Core i9-13900K', 'HBM2', '46x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
393. ['Intel Core i9-13900K', 'DDR4-3200', '47x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
394. ['Intel Core i9-13900K', 'HBM2', '47x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
395. ['Intel Core i9-13900K', 'DDR4-3200', '48x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
396. ['Intel Core i9-13900K', 'HBM2', '48x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
397. ['Intel Core i9-13900K', 'DDR4-3200', '49x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
398. ['Intel Core i9-13900K', 'HBM2', '49x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
399. ['Intel Core i9-13900K', 'DDR4-3200', '50x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
400. ['Intel Core i9-13900K', 'HBM2', '50x L3s', '0.5 App. AI, 100.0 MB Workset']: 2.2860e+11
401. ['Intel Core i9-13900K', 'DDR4-3200', '1x L3s', '0.5 App. AI, 50.0 MB Workset']: 1.5651e+10
402. ['Intel Core i9-13900K', 'HBM2', '1x L3s', '0.5 App. AI, 50.0 MB Workset']: 1.5651e+10
403. ['Intel Core i9-13900K', 'DDR4-3200', '2x L3s', '0.5 App. AI, 50.0 MB Workset']: 3.1302e+10
404. ['Intel Core i9-13900K', 'HBM2', '2x L3s', '0.5 App. AI, 50.0 MB Workset']: 3.1302e+10
405. ['Intel Core i9-13900K', 'DDR4-3200', '3x L3s', '0.5 App. AI, 50.0 MB Workset']: 4.6953e+10
406. ['Intel Core i9-13900K', 'HBM2', '3x L3s', '0.5 App. AI, 50.0 MB Workset']: 4.6953e+10
407. ['Intel Core i9-13900K', 'DDR4-3200', '4x L3s', '0.5 App. AI, 50.0 MB Workset']: 6.2409e+10
408. ['Intel Core i9-13900K', 'HBM2', '4x L3s', '0.5 App. AI, 50.0 MB Workset']: 6.2604e+10
409. ['Intel Core i9-13900K', 'DDR4-3200', '5x L3s', '0.5 App. AI, 50.0 MB Workset']: 6.5149e+10
410. ['Intel Core i9-13900K', 'HBM2', '5x L3s', '0.5 App. AI, 50.0 MB Workset']: 7.8255e+10
411. ['Intel Core i9-13900K', 'DDR4-3200', '6x L3s', '0.5 App. AI, 50.0 MB Workset']: 6.8141e+10
412. ['Intel Core i9-13900K', 'HBM2', '6x L3s', '0.5 App. AI, 50.0 MB Workset']: 9.3907e+10
413. ['Intel Core i9-13900K', 'DDR4-3200', '7x L3s', '0.5 App. AI, 50.0 MB Workset']: 7.1420e+10
414. ['Intel Core i9-13900K', 'HBM2', '7x L3s', '0.5 App. AI, 50.0 MB Workset']: 1.0956e+11
415. ['Intel Core i9-13900K', 'DDR4-3200', '8x L3s', '0.5 App. AI, 50.0 MB Workset']: 7.5031e+10
416. ['Intel Core i9-13900K', 'HBM2', '8x L3s', '0.5 App. AI, 50.0 MB Workset']: 1.2521e+11
417. ['Intel Core i9-13900K', 'DDR4-3200', '9x L3s', '0.5 App. AI, 50.0 MB Workset']: 7.9027e+10
418. ['Intel Core i9-13900K', 'HBM2', '9x L3s', '0.5 App. AI, 50.0 MB Workset']: 1.4086e+11
419. ['Intel Core i9-13900K', 'DDR4-3200', '10x L3s', '0.5 App. AI, 50.0 MB Workset']: 8.3472e+10
420. ['Intel Core i9-13900K', 'HBM2', '10x L3s', '0.5 App. AI, 50.0 MB Workset']: 1.5651e+11
421. ['Intel Core i9-13900K', 'DDR4-3200', '11x L3s', '0.5 App. AI, 50.0 MB Workset']: 8.8448e+10
422. ['Intel Core i9-13900K', 'HBM2', '11x L3s', '0.5 App. AI, 50.0 MB Workset']: 1.7216e+11
423. ['Intel Core i9-13900K', 'DDR4-3200', '12x L3s', '0.5 App. AI, 50.0 MB Workset']: 9.4053e+10
424. ['Intel Core i9-13900K', 'HBM2', '12x L3s', '0.5 App. AI, 50.0 MB Workset']: 1.8781e+11
425. ['Intel Core i9-13900K', 'DDR4-3200', '13x L3s', '0.5 App. AI, 50.0 MB Workset']: 1.0042e+11
426. ['Intel Core i9-13900K', 'HBM2', '13x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.0346e+11
427. ['Intel Core i9-13900K', 'DDR4-3200', '14x L3s', '0.5 App. AI, 50.0 MB Workset']: 1.0771e+11
428. ['Intel Core i9-13900K', 'HBM2', '14x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.1912e+11
429. ['Intel Core i9-13900K', 'DDR4-3200', '15x L3s', '0.5 App. AI, 50.0 MB Workset']: 1.1614e+11
430. ['Intel Core i9-13900K', 'HBM2', '15x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
431. ['Intel Core i9-13900K', 'DDR4-3200', '16x L3s', '0.5 App. AI, 50.0 MB Workset']: 1.2600e+11
432. ['Intel Core i9-13900K', 'HBM2', '16x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
433. ['Intel Core i9-13900K', 'DDR4-3200', '17x L3s', '0.5 App. AI, 50.0 MB Workset']: 1.3769e+11
434. ['Intel Core i9-13900K', 'HBM2', '17x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
435. ['Intel Core i9-13900K', 'DDR4-3200', '18x L3s', '0.5 App. AI, 50.0 MB Workset']: 1.5177e+11
436. ['Intel Core i9-13900K', 'HBM2', '18x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
437. ['Intel Core i9-13900K', 'DDR4-3200', '19x L3s', '0.5 App. AI, 50.0 MB Workset']: 1.6906e+11
438. ['Intel Core i9-13900K', 'HBM2', '19x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
439. ['Intel Core i9-13900K', 'DDR4-3200', '20x L3s', '0.5 App. AI, 50.0 MB Workset']: 1.9079e+11
440. ['Intel Core i9-13900K', 'HBM2', '20x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
441. ['Intel Core i9-13900K', 'DDR4-3200', '21x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.1894e+11
